Charity Name,Website URL,Contact Email
2050 Climate Group,http://www.2050.scot,contact@2050.scot
21Common(formerly 21st Century Challenges),http://www.21common.org,louise@21common.org
A Heart for Duns,http://www.aheartforduns.org,office@aheartforduns.org
A Listening Ear,https://a-listening-ear.org/,hello@listening-ear.org
AABIE Charitable Initiative,https://aab.uk/about/aabie,accountants@aab.uk
AARC (Asylum and Refugee Care),http://aarc.charity,user@domain.com
Abbeyview Bowling Club,http://www.abbeyviewbowlingclub.co.uk,secretary@abbeyviewbowlingclub.co.uk
Abbeyview Day Centre,http://www.abbeyviewdaycentre.co.uk,info@abbeyviewdaycentre.co.uk
Abbie's Sparkle Foundation,http://abbiessparklefoundation.org,info@abbiessparklefoundation.org
Aberdeen & District Transport Preservation Trust,http://thebuscollectionatalford.co.uk,thebuscollectionatalford@outlook.com
Aberdeen Action On Disability Limited,http://www.aad-online.com,office@aad-online.com
Aberdeen Care And Repair Group,http://www.aberdeencareandrepair.co.uk,gencareandrepair@castlehillha.co.uk
Aberdeen Chapter of Sweet Adelines International Corporation,http://www.aberdeenchorus.scot/,secretary_filter_unwanted@aberdeenchorus.scot
Aberdeen Choral Society,http://www.aberdeenchoral.org.uk,info@aberdeenchoral.org.uk
Aberdeen Christian Fellowship,http://aberdeencf.com,office@aberdeencf.com
Aberdeen FC Community Trust,http://www.afccommunitytrust.org,info@afccommunitytrust.org
Aberdeen for a Fairer World,http://www.afairerworld.org.uk,afairerworld.mdec@gmail.com
Aberdeen Ice Hockey Club,https://www.aberdeenlynx.com/,contactus@aberdeenlynx.com
Aberdeen Independent Multiple Sclerosis,http://www.youraims.org,info@youraims.org
Aberdeen Mountain Rescue Team,http://www.amrt.org.uk/,info@amrt.org.uk
Aberdeen Orpheus Choir,http://www.aoc.org.uk,conductor@aoc.org.uk
Aberdeen Science Centre,http://www.aberdeensciencecentre.org,info@asc.scot
Aberdeen-Angus Cattle Society,http://www.aberdeen-angus.co.uk,info@aberdeen-angus.co.uk
Aberdeenshire North Foodbank,http://www.aberdeenshirenorth.foodbank.org.uk,info@aberdeenshirenorth.foodbank.org.uk
AberNecessities,http://www.abernecessities.co.uk,user@domain.com
Abertay Historical Society,http://www.abertay.org.uk,museum@dundee.ac.uk
able2sail,http://www.able2sail.org.uk,contactus@able2sail.org.uk
Aboyne Canoe Club,http://www.aboynecanoeclub.co.uk,aboynecanoeclub@gmail.com
Aboyne Gymnastics and Trampoline Club,http://www.aboynegc.co.uk,safeguarding@aboynegc.co.uk
Abriachan Forest Trust,http://www.abriachan.org.uk,abriachanforest@gmail.com
Abundant Borders,http://www.abundantborders.org.uk,projects@abundantborders.org.uk
Acair,http://www.acairbooks.com,info@acairbooks.com
Accord Hospice,http://www.accordhospice.org.uk,info@accord.org.uk
ACE RaceRunning,http://www.acerr.org,info@acerr.org
Acorns2Trees,http://www.acorns2trees.com,privacy@acorns2trees.com
Action Against Age Related Macular Degeneration,http://www.actionagainstamd.org,78f7996315bc402f9dcb8a2f974b82d1@sentry.wixpress.com
Action for Pulmonary Fibrosis,http://actionpf.org,info@actionpf.org
